date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:27	124/124	---M--	200	added ('OK')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:26%20GMT	https://www.clalymanagement.com/robots.txt		(from )
17:08:27	245623/245623	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202025%2023:08:26%20GMT	https://www.clalymanagement.com/	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/index.html	(from )
17:08:28	97517/97517	---M--	200	added ('OK')	text/css	etag:%22052-md3-imbl7j1-0%22	https://www.clalymanagement.com/wp-includes/css/dist/block-library/style.min.css?ver=6.2.6	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-includes/css/dist/block-library/style.min4118.css	(from https://www.clalymanagement.com/)
17:08:28	888/888	---MCZ	200	added ('OK')	application/rss+xml	etag:%2294b07349450f793561a0ca69c57c193f%22	https://www.clalymanagement.com/feed/	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/feed/index.html	(from https://www.clalymanagement.com/)
17:08:29	291/291	---M--	200	added ('OK')	text/css	etag:%22052-0c3-imbl7j1-0%22	https://www.clalymanagement.com/wp-includes/css/classic-themes.min.css?ver=6.2.6	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-includes/css/classic-themes.min4118.css	(from https://www.clalymanagement.com/)
17:08:29	782/782	---MCZ	200	added ('OK')	application/rss+xml	etag:%2294b07349450f793561a0ca69c57c193f%22	https://www.clalymanagement.com/comments/feed/	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/comments/feed/index.html	(from https://www.clalymanagement.com/)
17:08:30	19/19	---M--	403	error ('Forbidden')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:30%20GMT	https://www.clalymanagement.com/wp-json/wp/v2/pages/24	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-json/wp/v2/pages/24	(from https://www.clalymanagement.com/)
17:08:30	19/19	---M--	403	error ('Forbidden')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:30%20GMT	https://www.clalymanagement.com/wp-json/	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-json/index.html	(from https://www.clalymanagement.com/)
17:08:30	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Mar%202025%2023:08:30%20GMT	https://www.clalymanagement.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/xmlrpc0db0.php	(from https://www.clalymanagement.com/)
17:08:30	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Mar%202025%2023:08:30%20GMT	https://www.clalymanagement.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-includes/wlwmanifest.xml	(from https://www.clalymanagement.com/)
17:08:31	19/19	---M--	403	error ('Forbidden')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:30%20GMT	https://www.clalymanagement.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.clalymanagement.com%2F	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-json/oembed/1.0/embed0f9f	(from https://www.clalymanagement.com/)
17:08:31	19/19	---M--	403	error ('Forbidden')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:31%20GMT	https://www.clalymanagement.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.clalymanagement.com%2F&format=xml	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-json/oembed/1.0/embed74fe	(from https://www.clalymanagement.com/)
17:08:31	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22071-9rpb17001-ro6ssj1-o9mlp7%22	https://www.clalymanagement.com/wp-content/uploads/go-x/favicon.ico?v=1741560600522	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/favicone9bf.ico	(from https://www.clalymanagement.com/)
17:08:31	3960/3960	---M--	200	added ('OK')	image/png	etag:%22071-5rpb17001-ro6ssj1-usaj67%22	https://www.clalymanagement.com/wp-content/uploads/go-x/apple-touch-icon.png?v=1741560600522	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/apple-touch-icone9bf.png	(from https://www.clalymanagement.com/)
17:08:31	170234/170234	---M--	200	added ('OK')	text/css	etag:%22071-7nub17001-ro6ssj1-6gvgj6%22	https://www.clalymanagement.com/wp-content/uploads/go-x/style.css?ver=1.0.6+5f398f4dc4	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/stylee67e.css	(from https://www.clalymanagement.com/)
17:08:31	994/994	---M--	200	added ('OK')	image/png	etag:%22071-8rpb17001-ro6ssj1-o9mlp7%22	https://www.clalymanagement.com/wp-content/uploads/go-x/favicon-32x32.png?v=1741560600522	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/favicon-32x32e9bf.png	(from https://www.clalymanagement.com/)
17:08:32	7665/7665	---M--	200	added ('OK')	image/png	etag:%22071-3rpb17001-ro6ssj1-i652t6%22	https://www.clalymanagement.com/wp-content/uploads/go-x/android-chrome-192x192.png?v=1741560600522	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/android-chrome-192x192e9bf.png	(from https://www.clalymanagement.com/)
17:08:32	689/689	---M--	200	added ('OK')	image/png	etag:%22071-7rpb17001-ro6ssj1-cjg4g7%22	https://www.clalymanagement.com/wp-content/uploads/go-x/favicon-16x16.png?v=1741560600522	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/favicon-16x16e9bf.png	(from https://www.clalymanagement.com/)
17:08:33	33040/33040	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-dp3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.eot	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.eot	(from https://www.clalymanagement.com/)
17:08:33	33040/33040	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-dp3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.eot?	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regulard41d.eot	(from https://www.clalymanagement.com/)
17:08:33	28724/28724	---M--	200	added ('OK')	font/woff2	etag:%22072-hp3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.woff2	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.woff2	(from https://www.clalymanagement.com/)
17:08:34	35696/35696	---M--	200	added ('OK')	font/woff	etag:%22072-gp3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.woff	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.woff	(from https://www.clalymanagement.com/)
17:08:35	65124/65124	---M--	200	added ('OK')	font/ttf	etag:%22072-fp3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.ttf	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.ttf	(from https://www.clalymanagement.com/)
17:08:35	65455/65455	---M--	200	added ('OK')	image/svg+xml	etag:%22072-ep3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.svg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-regular.svg	(from https://www.clalymanagement.com/)
17:08:35	33030/33030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-8p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.eot	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.eot	(from https://www.clalymanagement.com/)
17:08:36	33030/33030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-8p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.eot?	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italicd41d.eot	(from https://www.clalymanagement.com/)
17:08:36	35480/35480	---M--	200	added ('OK')	font/woff	etag:%22072-bp3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.woff	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.woff	(from https://www.clalymanagement.com/)
17:08:36	28616/28616	---M--	200	added ('OK')	font/woff2	etag:%22072-cp3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.woff2	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.woff2	(from https://www.clalymanagement.com/)
17:08:37	69569/69569	---M--	200	added ('OK')	image/svg+xml	etag:%22072-9p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.svg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.svg	(from https://www.clalymanagement.com/)
17:08:37	62144/62144	---M--	200	added ('OK')	font/ttf	etag:%22072-ap3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.ttf	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-italic.ttf	(from https://www.clalymanagement.com/)
17:08:37	32401/32401	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-uo3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.eot	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.eot	(from https://www.clalymanagement.com/)
17:08:37	32401/32401	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-uo3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.eot?	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700d41d.eot	(from https://www.clalymanagement.com/)
17:08:38	28148/28148	---M--	200	added ('OK')	font/woff2	etag:%22072-2p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.woff2	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.woff2	(from https://www.clalymanagement.com/)
17:08:38	35060/35060	---M--	200	added ('OK')	font/woff	etag:%22072-1p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.woff	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.woff	(from https://www.clalymanagement.com/)
17:08:39	64954/64954	---M--	200	added ('OK')	image/svg+xml	etag:%22072-vo3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.svg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.svg	(from https://www.clalymanagement.com/)
17:08:39	33444/33444	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-3p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.eot	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.eot	(from https://www.clalymanagement.com/)
17:08:39	33444/33444	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22072-3p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.eot?	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italicd41d.eot	(from https://www.clalymanagement.com/)
17:08:39	62760/62760	---M--	200	added ('OK')	font/ttf	etag:%22072-0p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.ttf	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700.ttf	(from https://www.clalymanagement.com/)
17:08:39	29100/29100	---M--	200	added ('OK')	font/woff2	etag:%22072-7p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.woff2	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.woff2	(from https://www.clalymanagement.com/)
17:08:40	35896/35896	---M--	200	added ('OK')	font/woff	etag:%22072-6p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.woff	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.woff	(from https://www.clalymanagement.com/)
17:08:40	62848/62848	---M--	200	added ('OK')	font/ttf	etag:%22072-5p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.ttf	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.ttf	(from https://www.clalymanagement.com/)
17:08:41	11/11	---M--	303	error ('See%20Other')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:41%20GMT	https://www.clalymanagement.com/about-us	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/about-us	(from https://www.clalymanagement.com/)
17:08:41	11/11	---M--	303	error ('See%20Other')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:41%20GMT	https://www.clalymanagement.com/contact-us	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/contact-us	(from https://www.clalymanagement.com/)
17:08:41	206620/206620	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202025%2023:08:41%20GMT	https://www.clalymanagement.com/about-us/	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/about-us/index.html	(from https://www.clalymanagement.com/)
17:08:41	617867/617867	---M--	200	added ('OK')	image/jpeg	etag:%22071-slub17001-7i6ssj1-lionpr%22	https://www.clalymanagement.com/wp-content/uploads/go-x/u/28d38cea-1a97-43f4-ad51-05e3e73605b1/image.jpg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/u/28d38cea-1a97-43f4-ad51-05e3e73605b1/image.jpg	(from https://www.clalymanagement.com/)
17:08:41	69354/69354	---M--	200	added ('OK')	image/svg+xml	etag:%22072-4p3-6gngsj1-0%22	https://www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.svg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/themes/gox/public/fonts/Merriweather-latin_latin-ext-700italic.svg	(from https://www.clalymanagement.com/)
17:08:41	220635/220635	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202025%2023:08:41%20GMT	https://www.clalymanagement.com/contact-us/	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/contact-us/index.html	(from https://www.clalymanagement.com/)
17:08:42	271009/271009	---M--	200	added ('OK')	image/jpeg	etag:%22071-2mub17001-8i6ssj1-nb0ebm%22	https://www.clalymanagement.com/wp-content/uploads/go-x/u/ccd820e2-6b0e-4edd-b600-e2618ed39642/l320,t3,w1280,h1280/image.jpg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/u/ccd820e2-6b0e-4edd-b600-e2618ed39642/l320,t3,w1280,h1280/image.jpg	(from https://www.clalymanagement.com/)
17:08:43	69851/69851	---M--	200	added ('OK')	text/javascript	etag:%22072-282-0gngsj1-0%22	https://www.clalymanagement.com/wp-content/plugins/go-x-blocks/js/consent/consent.js?ver=1.0.6+5f398f4dc4	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/plugins/go-x-blocks/js/consent/consente67e.js	(from https://www.clalymanagement.com/)
17:08:43	184098/184098	---M--	200	added ('OK')	image/jpeg	etag:%22071-emub17001-bi6ssj1-p68a03%22	https://www.clalymanagement.com/wp-content/uploads/go-x/u/836f0cfd-b4ec-4469-8b05-78ef14f381e9/l320,t0,w1280,h1280/image.jpg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/u/836f0cfd-b4ec-4469-8b05-78ef14f381e9/l320,t0,w1280,h1280/image.jpg	(from https://www.clalymanagement.com/)
17:08:43	79323/79323	---MC-	200	added ('OK')	text/javascript	date:Sun,%2009%20Mar%202025%2023:08:43%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/My%20Web%20Sites/Claly%20Management/translate.google.com/translate_a/element7876.js	(from https://www.clalymanagement.com/)
17:08:44	166021/166021	---M--	200	added ('OK')	image/jpeg	etag:%22071-tppb17001-ai6ssj1-75rhi8%22	https://www.clalymanagement.com/wp-content/uploads/go-x/u/866cd1d0-8bef-401f-8844-04da58341531/l480,t0,w1920,h1920/image-1366x1366.jpg	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/uploads/go-x/u/866cd1d0-8bef-401f-8844-04da58341531/l480,t0,w1920,h1920/image-1366x1366.jpg	(from https://www.clalymanagement.com/)
17:08:44	71755/71755	---M--	200	added ('OK')	text/javascript	etag:%22072-882-0gngsj1-0%22	https://www.clalymanagement.com/wp-content/plugins/go-x-blocks/js/forms/forms.js?ver=1.0.6+5f398f4dc4	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-content/plugins/go-x-blocks/js/forms/formse67e.js	(from https://www.clalymanagement.com/)
17:08:46	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2009%20Mar%202025%2023:08:45%20GMT	http://cdn.pagepulse.info/js/22728.js	C:/My%20Web%20Sites/Claly%20Management/cdn.pagepulse.info/js/22728.2e.delayed	(from https://www.clalymanagement.com/)
17:08:46	3957/3957	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Mar%202025%2015:43:59%20GMT	https://cdn.pagepulse.info/js/22728.js	C:/My%20Web%20Sites/Claly%20Management/cdn.pagepulse.info/js/22728.js	(from https://www.clalymanagement.com/)
17:08:47	19/19	---M--	403	error ('Forbidden')	text/plain	date:Sun,%2009%20Mar%202025%2023:08:47%20GMT	https://www.clalymanagement.com/wp-json/wp/v2/pages/25	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/wp-json/wp/v2/pages/25	(from https://www.clalymanagement.com/about-us/)
17:08:47	11020/11020	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Mar%202025%2023:08:47%20GMT	https://www.clalymanagement.com/Trident/	C:/My%20Web%20Sites/Claly%20Management/www.clalymanagement.com/Trident/index.html	(from https://www.clalymanagement.com/)
